date	likes	retweets	replies
Wed, 14 Oct 2020 01:30:00 GMT	155060	21101	16868
Wed, 14 Oct 2020 13:27:00 GMT	277987	30034	18608
Wed, 14 Oct 2020 14:32:00 GMT	16283	5252	1545
Wed, 14 Oct 2020 15:02:00 GMT	12690	3320	1915
Wed, 14 Oct 2020 15:35:00 GMT	21996	6531	3792
Wed, 14 Oct 2020 16:35:00 GMT	166790	24798	14931
Wed, 14 Oct 2020 18:01:00 GMT	17551	5340	1557
Wed, 14 Oct 2020 18:30:00 GMT	10401	2426	2921
Wed, 14 Oct 2020 19:40:00 GMT	197887	29429	9036
Wed, 14 Oct 2020 20:37:00 GMT	15703	3391	1731
Wed, 14 Oct 2020 21:15:00 GMT	13870	3063	2299
Wed, 14 Oct 2020 21:40:00 GMT	50739	14955	6868
Wed, 14 Oct 2020 22:30:00 GMT	84597	19427	14824
Wed, 14 Oct 2020 22:58:00 GMT	233950	78391	74365
Thu, 15 Oct 2020 01:18:00 GMT	47259	9788	6230
Thu, 15 Oct 2020 02:02:00 GMT	12220	2751	4074
Thu, 15 Oct 2020 02:38:06 GMT	30242	4966	2893
Thu, 15 Oct 2020 02:52:00 GMT	234231	26591	17515
Thu, 15 Oct 2020 13:45:00 GMT	270668	51954	19907
Thu, 15 Oct 2020 14:35:15 GMT	86323	7210	3138
Thu, 15 Oct 2020 14:35:15 GMT	60521	4437	1367
Thu, 15 Oct 2020 14:35:15 GMT	132432	13005	7124
Thu, 15 Oct 2020 14:45:00 GMT	18027	4628	2128
Thu, 15 Oct 2020 15:52:00 GMT	12384	3739	1843
Thu, 15 Oct 2020 16:48:00 GMT	7989	1897	1678
Thu, 15 Oct 2020 17:25:00 GMT	36514	6883	2263
Thu, 15 Oct 2020 18:00:00 GMT	87076	33225	8236
Thu, 15 Oct 2020 18:30:00 GMT	8984	2367	1507
Thu, 15 Oct 2020 19:15:00 GMT	330260	54855	35193
Thu, 15 Oct 2020 20:00:01 GMT	12928	3609	2907
Thu, 15 Oct 2020 20:36:44 GMT	84823	7706	3717
Thu, 15 Oct 2020 20:37:26 GMT	36341	2386	716
Thu, 15 Oct 2020 20:38:08 GMT	39430	2739	923
Thu, 15 Oct 2020 21:31:00 GMT	101653	19721	2889
Thu, 15 Oct 2020 23:21:00 GMT	18932	3583	877
Thu, 15 Oct 2020 23:47:00 GMT	88462	9780	4497
Fri, 16 Oct 2020 00:11:00 GMT	71558	10793	3613
Fri, 16 Oct 2020 00:13:00 GMT	31966	6147	2088
Fri, 16 Oct 2020 00:18:00 GMT	120109	18049	3471
Fri, 16 Oct 2020 00:20:00 GMT	365916	53530	26554
Fri, 16 Oct 2020 00:31:00 GMT	32256	6565	1619
Fri, 16 Oct 2020 00:47:00 GMT	29009	6341	7830
Fri, 16 Oct 2020 01:02:00 GMT	31067	4425	4156
Fri, 16 Oct 2020 01:29:00 GMT	154382	23782	4554
Fri, 16 Oct 2020 01:33:00 GMT	176680	25227	9038
Fri, 16 Oct 2020 01:42:00 GMT	53473	9602	3688
Fri, 16 Oct 2020 01:53:00 GMT	234035	29977	6836
Fri, 16 Oct 2020 01:56:00 GMT	55792	11605	8011
Fri, 16 Oct 2020 02:05:00 GMT	22907	4309	5372
Fri, 16 Oct 2020 14:20:00 GMT	12547	3195	1593
Fri, 16 Oct 2020 14:40:00 GMT	13452	3706	1889
Fri, 16 Oct 2020 15:00:02 GMT	34551	8539	4472
Fri, 16 Oct 2020 17:11:00 GMT	20001	4164	1929
Fri, 16 Oct 2020 17:57:00 GMT	136889	20329	10033
Fri, 16 Oct 2020 19:34:48 GMT	13850	3330	2632
Fri, 16 Oct 2020 20:26:03 GMT	3398	726	618
Fri, 16 Oct 2020 20:37:00 GMT	154681	21570	10842
